REFERENCIA;DESCRICAO;DATA_CADASTRO;UNIDADE;ATIVO;GRUPO;MARCA;GENERO;MATERIAL;TIPO_REPOSICAO;FORNECEDOR_TAG;FORNECEDOR_CNPJ;PRECO_CUSTO;FOTO
22.949.56.KIT;MOLETOM ZENITE MASC;24/10/2018;PAR;S;MOLETOM FEMIN;TROPICAL CO L;FEM;JEANS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;285.38;
81.473.15.FEM;CALCA GAROA MASC;14/09/2022;PAR;S;CALÇA TECIDO FEMIN;TROPICAL CO N;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;283.26;
30.196.15.KIT;BERMUDA TROPICAL CO MASC;22/11/2025;PC;S;BERMUDA JEANS FEMIN;HORIZONTE L;FEM;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;315.93;
61.113.55.ABC;BLAZER QUINTAL MASC;05/11/2019;PAR;S;BLAZER FEMIN;ZENITE PROMO;FEM;OUTROS;;PONTO CERTO IND E COM DE CONFEC LTDA;;217.85;
47.217.34.ABC;OCULOS MARE ALTA FEM;20/08/2024;UN;S;OCULOS FEMIN;GAROA N;FEM;ALGODÃO;;PONTO CERTO IND E COM DE CONFEC LTDA;;285.57;
84.980.38.MEN;BERMUDA JUREMA;18/06/2023;PC;N;BERMUDA JEANS FEMIN;NOS PROMO;FEM;COURO;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;98.17;
32.781.56.000;TOP DUNA;22/10/2024;PC;S;TOP CROPPED FEMIN;LUMIERE N;FEM;JEANS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;123.95;
96.632.62.ABC;OCULOS QUINTAL MASC;28/12/2024;PC;S;OCULOS FEMIN;JUREMA PROMO;FEM;ALGODÃO;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;118.27;
20.109.53.MEN;VESTIDO ICARO;02/04/2025;PC;N;VESTIDO LONGO FEMIN;PRAIANO L;FEM;OUTROS;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;226.76;
96.413.80.ABC;CASACO FLORADA MASC;16/09/2026;PC;S;CASACO FEMIN;DUNA L;FEM;COURO;;FIO NOBRE IND E COM DE CONFEC LTDA;;183.13;
41.942.66.XPT;CALCA VENTO LESTE MASC;16/05/2019;PC;S;CALÇA TECIDO FEMIN;LUMIERE N;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;48.03;
13.918.88.MEN;CAMISA ZENITE FEM;12/07/2022;PC;S;CAMISA ML MASC;DUNA PROMO;MASC;JEANS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;106.94;
30.263.12.FEM;BLUSA TROPICAL CO;26/09/2026;PC;S;BLUSA FEMIN;DUNA L;FEM;ALGODÃO;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;189.66;
38.554.81.KIT;BODY MARE ALTA;09/03/2019;PC;S;BODY FEMIN;DUNA PROMO;FEM;ALGODÃO;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;113.32;
93.657.64.FEM;VESTIDO BOSSA FEM;27/09/2025;UN;S;VESTIDO UNICO FEMIN;QUINTAL L;FEM;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;319.85;
64.377.72.KIT;CALCA JUREMA MASC;19/05/2025;PC;S;CALÇA TECIDO FEMIN;KAIROS N;FEM;ALGODÃO;;MALHARIA MARE IND E COM DE CONFEC LTDA;;299.97;
76.071.22.KIT;CALCA FLORADA FEM;12/02/2026;PAR;S;CALÇA TECIDO FEMIN;MARE ALTA N;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;288.67;
54.225.56.XPT;CALCA GAROA;12/07/2021;PAR;S;CALÇA JEANS FEMIN;MARE ALTA N;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;102.93;
14.177.57.000;VESTIDO DUNA MASC;24/08/2020;PC;S;VESTIDO MIDI FEMIN;NOS N;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;100.67;
69.846.20.KIT;OCULOS RAIZ FEM;22/08/2022;PC;S;OCULOS FEMIN;PRAIANO N;FEM;COMBO;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;55.40;
99.722.45.FEM;BERMUDA DUNA FEM;07/10/2019;PAR;S;BERMUDA JEANS FEMIN;FLORADA N;FEM;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;232.14;
84.171.25.KIT;MACACAO ESSENCE;10/11/2023;UN;S;MACACAO FEMIN;ATELIE SUL N;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;170.14;
94.724.03.ABC;OCULOS ICARO;27/03/2026;PC;S;OCULOS FEMIN;CARIOCA CRU L;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;286.46;
82.010.54.ABC;CAMISETA ICARO MASC;03/08/2024;PC;S;CAMISETA FEMIN;TROPICAL CO N;FEM;COMBO;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;195.08;
60.871.83.KIT;BERMUDA HORIZONTE MASC;23/06/2020;PC;S;BERMUDA TECIDO FEMIN;QUINTAL PROMO;FEM;JEANS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;110.85;
74.683.37.MEN;MOLETOM KAIROS;11/06/2018;PC;N;MOLETOM FEMIN;SAVANA L;FEM;ALGODÃO;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;187.57;
00.553.65.MEN;BOLSA BOSSA MASC;24/05/2022;PC;N;BOLSA FEMIN;JUREMA PROMO;FEM;OUTROS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;212.30;
66.622.69.FEM;BLUSA MARE ALTA FEM;15/04/2021;PC;S;BLUSA FEMIN;JUREMA PROMO;FEM;SARJA;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;131.66;
13.741.07.FEM;MACACAO BOSSA MASC;15/12/2023;UN;S;MACACAO FEMIN;KAIROS L;FEM;SARJA;;FIO NOBRE IND E COM DE CONFEC LTDA;;142.79;
46.039.68.FEM;JAQUETA KAIROS FEM;18/02/2026;UN;S;JAQUETA FEMIN;NOS PROMO;FEM;ALGODÃO;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;62.22;
41.833.05.ABC;CONJ PRAIANO MASC;19/11/2026;PC;S;CONJUNTO FEMIN;PRAIANO N;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;155.18;
11.186.96.KIT;BIQUINI CARIOCA CRU FEM;10/10/2022;PC;S;BIQUINI / MAIO FEMIN;DUNA N;FEM;OUTROS;;COSTURA VIVA IND E COM DE CONFEC LTDA;;285.74;
22.515.20.KIT;REGATA ICARO FEM;06/03/2026;PC;S;REGATA FEMIN;SAVANA N;FEM;SARJA;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;161.53;
78.813.10.MEN;CINTO PRAIANO;07/10/2022;PC;S;CINTO FEMIN;ZENITE PROMO;FEM;LINHO;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;290.80;
95.921.73.KIT;CAMISA URUCUM MASC;07/07/2022;PC;S;CAMISA CHEMISE FEMIN;NOS PROMO;FEM;OUTROS;;VESTIR BEM IND E COM DE CONFEC LTDA;;176.56;
13.033.84.KIT;VESTIDO PRAIANO FEM;26/02/2018;PC;S;VESTIDO UNICO FEMIN;PRAIANO N;FEM;OUTROS;;COSTURA VIVA IND E COM DE CONFEC LTDA;;25.33;
02.166.22.ABC;TOP GAROA;17/10/2024;PC;S;TOP CROPPED FEMIN;DUNA N;FEM;OUTROS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;123.92;
04.176.17.ABC;POLO TROPICAL CO FEM;27/10/2019;UN;S;POLO MASC;JUREMA L;MASC;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;40.67;
41.224.65.MEN;VESTIDO ATELIE SUL MASC;01/10/2018;PC;S;VESTIDO MIDI FEMIN;SAVANA N;FEM;JEANS;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;169.27;
93.596.92.ABC;BLUSA NOS FEM;25/04/2022;PC;S;BLUSA FEMIN;HORIZONTE N;FEM;OUTROS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;215.97;
37.129.76.FEM;BLAZER PRAIANO MASC;07/02/2021;PC;S;BLAZER FEMIN;JUREMA N;FEM;ALGODÃO;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;138.56;
23.962.16.000;BLAZER KAIROS MASC;05/01/2019;PC;N;BLAZER FEMIN;TROPICAL CO PROMO;FEM;OUTROS;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;117.79;
14.666.18.XPT;MACACAO GAROA MASC;25/09/2018;PC;S;MACACAO FEMIN;KAIROS PROMO;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;232.75;
36.519.64.000;BIQUINI LUMIERE MASC;19/08/2024;PC;S;BIQUINI / MAIO FEMIN;VENTO LESTE N;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;196.84;
39.350.80.MEN;VESTIDO GAROA;13/04/2022;PAR;S;VESTIDO UNICO FEMIN;ICARO N;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;20.60;
77.265.86.ABC;CINTO RAIZ FEM;23/08/2025;PAR;S;CINTO FEMIN;ZENITE PROMO;;COURO;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;47.94;
57.633.64.MEN;TOP DUNA;08/10/2024;PAR;S;TOP CROPPED FEMIN;KAIROS PROMO;FEM;JEANS;;MODA SUL IND E COM DE CONFEC LTDA;;50.44;
51.580.36.ABC;SAPATO MARE ALTA;17/12/2020;PC;S;CALÇADO FEMIN;TROPICAL CO L;FEM;ALGODÃO;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;319.24;
20.717.83.XPT;CINTO GAROA MASC;09/05/2023;PC;S;CINTO FEMIN;ZENITE PROMO;FEM;COMBO;;COSTURA VIVA IND E COM DE CONFEC LTDA;;45.52;
86.354.16.FEM;BOLSA GAROA MASC;28/03/2019;PAR;N;BOLSA FEMIN;GAROA PROMO;FEM;JEANS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;63.48;
82.980.60.FEM;JAQUETA JUREMA MASC;10/11/2026;PAR;S;JAQUETA FEMIN;QUINTAL PROMO;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;139.26;
95.500.70.ABC;MOLETOM GAROA;02/04/2024;UN;N;MOLETOM FEMIN;KAIROS L;FEM;ALGODÃO;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;295.72;
63.801.68.MEN;VESTIDO ORLA FEM;25/03/2018;PC;S;VESTIDO MIDI FEMIN;LUMIERE L;FEM;NYLON;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;251.19;
29.952.28.000;VESTIDO DUNA MASC;09/06/2023;PC;S;VESTIDO MIDI FEMIN;ESSENCE L;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;90.46;
04.015.21.000;SAPATO VENTO LESTE MASC;06/03/2024;PC;S;CALÇADO FEMIN;KAIROS N;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;248.55;
81.106.39.ABC;JAQUETA CARIOCA CRU;22/10/2025;PC;S;JAQUETA FEMIN;ICARO L;FEM;OUTROS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;60.22;
79.608.98.FEM;BLUSA DUNA FEM;17/09/2023;PAR;S;BLUSA FEMIN;GAROA L;FEM;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;143.33;
81.096.94.XPT;BERMUDA ZENITE MASC;03/06/2022;PC;S;BERMUDA JEANS FEMIN;VENTO LESTE L;FEM;COMBO;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;220.86;
39.873.73.KIT;MOLETOM QUINTAL FEM;01/04/2022;PC;S;MOLETOM FEMIN;CARIOCA CRU N;FEM;OUTROS;;VESTIR BEM IND E COM DE CONFEC LTDA;;248.81;
70.875.00.KIT;CAMISA ESSENCE FEM;16/08/2019;PAR;S;CAMISA ML MASC;HORIZONTE N;MASC;OUTROS;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;123.25;
18.510.39.ABC;SAPATO LUMIERE MASC;02/10/2020;PC;S;CALÇADO FEMIN;NOS N;FEM;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;98.19;
18.600.90.XPT;SAIA QUINTAL MASC;04/10/2024;PC;N;SAIA TECIDO FEMIN;ICARO L;FEM;JEANS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;127.07;
39.573.04.XPT;VESTIDO RAIZ;26/05/2024;PC;S;VESTIDO UNICO FEMIN;ESSENCE L;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;231.11;
20.250.59.000;CALCA ATELIE SUL;03/07/2025;PAR;N;CALÇA TECIDO FEMIN;GAROA PROMO;FEM;COMBO;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;220.48;
98.223.90.FEM;CAMISETA BOSSA MASC;24/04/2020;PC;S;CAMISETA MC MASC;ZENITE N;MASC;COURO;;FIO NOBRE IND E COM DE CONFEC LTDA;;142.44;
34.111.56.000;CONJ FLORADA FEM;07/02/2021;PC;S;CONJUNTO FEMIN;ATELIE SUL PROMO;FEM;OUTROS;INDIVIDUAL;VESTIR BEM IND E COM DE CONFEC LTDA;;145.66;
26.568.35.000;CONJ CARIOCA CRU FEM;25/04/2025;PC;N;CONJUNTO FEMIN;MARE ALTA L;FEM;OUTROS;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;170.97;
28.923.47.MEN;SAIA TROPICAL CO FEM;23/07/2019;PAR;N;SAIA JEANS FEMIN;DUNA PROMO;FEM;ALGODÃO;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;132.56;
90.457.95.000;CAMISETA ORLA MASC;21/01/2022;PC;N;CAMISETA FEMIN;CARIOCA CRU L;FEM;JEANS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;69.12;
00.211.12.ABC;BLAZER ATELIE SUL;11/07/2024;PC;S;BLAZER FEMIN;ZENITE L;FEM;JEANS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;212.67;
31.107.65.KIT;BERMUDA ORLA MASC;11/02/2020;PC;S;BERMUDA TECIDO FEMIN;QUINTAL L;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;12.51;
59.997.85.KIT;JAQUETA JUREMA;20/04/2023;PC;S;JAQUETA FEMIN;HORIZONTE L;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;148.74;
11.000.42.KIT;OCULOS QUINTAL;26/02/2026;PC;S;OCULOS FEMIN;QUINTAL PROMO;FEM;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;216.00;
25.142.61.KIT;CONJ FLORADA MASC;18/11/2022;PC;S;CONJUNTO FEMIN;ATELIE SUL N;FEM;OUTROS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;59.59;
39.915.52.000;CALCA JUREMA MASC;11/10/2018;PC;S;CALÇA TECIDO FEMIN;PRAIANO N;FEM;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;256.95;
29.207.18.MEN;TOP ZENITE MASC;22/09/2019;PC;S;TOP CROPPED FEMIN;PRAIANO L;FEM;LINHO;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;30.48;
17.499.52.XPT;VESTIDO ICARO;19/07/2021;PAR;S;VESTIDO UNICO FEMIN;TROPICAL CO L;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;22.89;
19.194.43.FEM;BODY KAIROS FEM;05/11/2026;PC;N;BODY FEMIN;TROPICAL CO L;FEM;OUTROS;INDIVIDUAL;VESTIR BEM IND E COM DE CONFEC LTDA;;42.26;
81.790.73.MEN;BERMUDA RAIZ MASC;05/10/2018;PAR;S;BERMUDA JEANS FEMIN;FLORADA L;FEM;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;134.28;
97.441.80.FEM;MOLETOM BOSSA MASC;03/08/2019;PC;S;MOLETOM FEMIN;ZENITE N;FEM;OUTROS;;PONTO CERTO IND E COM DE CONFEC LTDA;;231.15;
60.280.40.FEM;MACACAO JUREMA FEM;03/07/2023;PC;S;MACACAO FEMIN;KAIROS PROMO;FEM;POLIÉSTER;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;62.51;
94.370.03.000;CAMISA ATELIE SUL MASC;22/03/2025;PC;S;CAMISA CHEMISE FEMIN;SAVANA N;FEM;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;119.19;
82.566.08.XPT;JAQUETA HORIZONTE MASC;25/04/2026;UN;S;JAQUETA FEMIN;GAROA L;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;94.43;
42.806.81.FEM;BERMUDA SAVANA MASC;26/04/2020;PC;S;BERMUDA TECIDO FEMIN;ICARO N;FEM;SARJA;;FIO NOBRE IND E COM DE CONFEC LTDA;;128.12;
41.108.14.000;PERFUME FLORADA;26/05/2026;PC;N;PERFUMARIA FEMIN;NOS PROMO;FEM;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;64.59;
69.590.96.ABC;VESTIDO PRAIANO;09/01/2020;PC;N;VESTIDO MIDI FEMIN;GAROA N;FEM;SARJA;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;49.05;
20.749.43.FEM;CAMISETA RAIZ;02/04/2018;PC;S;CAMISETA MC MASC;HORIZONTE N;MASC;NYLON;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;284.58;
21.178.04.ABC;CALCA SAVANA FEM;17/03/2020;UN;N;CALÇA JEANS MASC;FLORADA L;MASC;MOLETOM;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;19.65;
98.635.10.XPT;CAMISA DUNA MASC;03/12/2020;UN;S;CAMISA CHEMISE FEMIN;KAIROS PROMO;FEM;ALGODÃO;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;240.49;
12.454.21.000;BODY ATELIE SUL FEM;08/03/2024;UN;S;BODY FEMIN;KAIROS PROMO;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;29.28;
37.429.58.KIT;VESTIDO CARIOCA CRU;19/08/2020;PC;S;VESTIDO UNICO FEMIN;QUINTAL L;FEM;OUTROS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;111.98;
47.072.15.MEN;CONJ ORLA MASC;07/10/2023;UN;S;CONJUNTO FEMIN;BOSSA L;FEM;ALGODÃO;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;130.22;
68.668.81.FEM;CONJ GAROA FEM;05/10/2022;PAR;S;CONJUNTO FEMIN;TROPICAL CO L;FEM;JEANS;;TRAMA FINA IND E COM DE CONFEC LTDA;;92.13;
47.329.16.XPT;OCULOS QUINTAL FEM;16/06/2025;PC;S;OCULOS FEMIN;ICARO N;FEM;ALGODÃO;;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;20.60;
22.050.66.MEN;VESTIDO DUNA MASC;05/03/2019;PAR;S;VESTIDO LONGO FEMIN;ATELIE SUL L;FEM;OUTROS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;174.59;
76.639.06.FEM;VESTIDO ORLA MASC;06/03/2020;UN;N;VESTIDO UNICO FEMIN;DUNA PROMO;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;189.95;
22.740.13.FEM;BERMUDA GAROA;28/05/2020;PC;N;BERMUDA TECIDO FEMIN;GAROA PROMO;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;120.96;
66.360.59.MEN;CAMISA ZENITE MASC;06/10/2020;PAR;S;CAMISA ML MASC;MARE ALTA PROMO;MASC;JEANS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;284.92;
25.308.39.ABC;BODY SAVANA;05/02/2024;UN;S;BODY FEMIN;LUMIERE N;FEM;JEANS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;68.48;
41.308.66.MEN;VESTIDO JUREMA;02/03/2020;PC;S;VESTIDO MIDI FEMIN;ATELIE SUL L;FEM;OUTROS;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;139.14;
16.211.83.XPT;VESTIDO ESSENCE MASC;21/03/2024;UN;N;VESTIDO MIDI FEMIN;ESSENCE L;FEM;JEANS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;288.78;
58.195.54.FEM;BODY ATELIE SUL;01/03/2019;PC;S;BODY FEMIN;FLORADA N;FEM;OUTROS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;239.28;
76.029.73.XPT;OCULOS URUCUM MASC;07/08/2022;PC;S;OCULOS FEMIN;ESSENCE N;FEM;OUTROS;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;212.32;
94.641.82.000;SAPATO TROPICAL CO FEM;16/08/2024;PC;S;CALÇADO FEMIN;LUMIERE N;FEM;MOLETOM;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;134.76;
74.785.96.ABC;BOLSA ORLA FEM;17/11/2018;PC;N;BOLSA FEMIN;ATELIE SUL L;FEM;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;253.63;
50.483.47.XPT;REGATA CARIOCA CRU MASC;07/05/2025;UN;N;REGATA FEMIN;DUNA N;FEM;COURO;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;215.71;
21.539.80.FEM;CALCA HORIZONTE FEM;15/06/2023;PC;S;CALÇA TECIDO FEMIN;CARIOCA CRU L;FEM;ALGODÃO;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;172.66;
50.463.00.KIT;BOLSA NOS;28/03/2024;PC;N;BOLSA FEMIN;HORIZONTE L;FEM;OUTROS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;299.96;
88.795.74.MEN;VESTIDO VENTO LESTE;15/03/2022;UN;S;VESTIDO LONGO FEMIN;ORLA N;FEM;JEANS;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;299.80;
86.464.91.ABC;CONJ ESSENCE;10/03/2021;PC;N;CONJUNTO FEMIN;HORIZONTE L;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;27.55;
52.884.50.ABC;VESTIDO RAIZ;19/12/2018;PC;S;VESTIDO LONGO FEMIN;SAVANA L;FEM;JEANS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;117.72;
14.225.89.KIT;PERFUME NOS;16/01/2024;PC;S;PERFUMARIA FEMIN;QUINTAL L;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;241.74;
94.693.91.MEN;BOLSA ICARO MASC;22/12/2023;PC;S;BOLSA FEMIN;ATELIE SUL PROMO;FEM;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;274.17;
97.167.50.FEM;SAPATO TROPICAL CO;23/10/2021;PC;S;CALÇADO MASC;GAROA L;MASC;COMBO;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;91.55;
72.887.02.MEN;VESTIDO HORIZONTE FEM;12/09/2025;PC;S;VESTIDO LONGO FEMIN;VENTO LESTE L;FEM;SARJA;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;183.55;
71.556.19.XPT;SAIA KAIROS FEM;28/05/2022;PC;N;SAIA JEANS FEMIN;SAVANA N;FEM;ALGODÃO;;MODA SUL IND E COM DE CONFEC LTDA;;297.10;
28.275.53.MEN;CALCA GAROA FEM;16/01/2021;PC;N;CALÇA JEANS FEMIN;SAVANA L;FEM;OUTROS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;19.34;
00.211.51.FEM;PERFUME ICARO FEM;17/04/2026;PAR;S;PERFUMARIA FEMIN;ZENITE PROMO;FEM;SARJA;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;160.03;
64.214.97.XPT;CAMISETA GAROA FEM;16/02/2021;PAR;S;CAMISETA MC MASC;PRAIANO N;MASC;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;289.80;
33.242.93.XPT;BOLSA GAROA FEM;05/11/2020;PC;N;BOLSA FEMIN;SAVANA N;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;92.56;
89.273.23.ABC;BODY CARIOCA CRU MASC;02/02/2020;PC;S;BODY FEMIN;KAIROS N;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;19.00;
62.325.39.XPT;CALCA FLORADA MASC;15/12/2023;PC;S;CALÇA JEANS FEMIN;KAIROS L;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;34.45;
38.266.08.KIT;OCULOS JUREMA FEM;18/07/2026;PAR;S;OCULOS FEMIN;ATELIE SUL N;FEM;POLIÉSTER;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;273.19;
82.064.81.FEM;BODY URUCUM MASC;04/02/2025;PC;S;BODY FEMIN;OUTROS;FEM;COMBO;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;25.97;
42.662.56.FEM;CAMISA NOS FEM;04/07/2021;PC;S;CAMISA CHEMISE FEMIN;MARE ALTA PROMO;FEM;OUTROS;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;110.02;
68.232.48.KIT;BLUSA RAIZ;25/10/2018;PC;S;BLUSA FEMIN;ESSENCE L;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;295.82;
61.677.62.MEN;REGATA PRAIANO FEM;27/09/2023;PC;S;REGATA FEMIN;RAIZ L;FEM;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;247.99;
76.654.97.000;OCULOS ZENITE;17/11/2024;PC;S;OCULOS FEMIN;NOS L;FEM;JEANS;INDIVIDUAL;VESTIR BEM IND E COM DE CONFEC LTDA;;188.06;
76.449.48.KIT;CAMISETA CARIOCA CRU MASC;04/10/2026;PC;N;CAMISETA FEMIN;PRAIANO N;FEM;OUTROS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;120.29;
05.191.51.XPT;CAMISA KAIROS;03/11/2018;PAR;N;CAMISA ML MASC;KAIROS L;MASC;OUTROS;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;102.50;
87.354.97.ABC;SAIA VENTO LESTE MASC;16/07/2021;PC;S;SAIA TECIDO FEMIN;TROPICAL CO PROMO;FEM;JEANS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;301.18;
21.143.92.KIT;MOLETOM FLORADA;02/11/2019;PC;S;MOLETOM FEMIN;KAIROS PROMO;FEM;OUTROS;;COSTURA VIVA IND E COM DE CONFEC LTDA;;306.83;
